연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,충남,건설업,50인미만,(주)구현종합건설((주)영강 공장 신축공사),충남 예산군 고덕면 오추리,1,10,1,10,1.82
2020,충남,도소매·음식·숙박업,50인미만,"삼죽영농조합법인(원청), 성진냉열(하청)",충남 홍성군 홍성읍 충서로 1253 ,1,10,1,10,0.62
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,(주)백양스틸,"경남 함안군 칠서면 공단북길 218 (칠서면, (주)BNG코일)",1,10,1,10,1.12
2019,울산,"기계기구, 비금속광물 및 금속제품제조업",50인미만,남양인더스트리㈜,울산 울주군 온산읍 해맞이로 1837-9 ((주)우진식품),1,21,2,9.52,1.39
2020,경기,섬유 및 섬유제품제조업,50인미만,(주)명성프라콘,경기 포천시 호국로1315번길 42 (어룡동),1,21,2,9.52,0.65
2020,서울,건설업,50인미만,"강남건영(주)(원청), 화니건설㈜(하청)(노량진 더 클래식 청년주택 및 근린생활시설 신축공사)",서울 동작구 노량진로8길 59 (노량진동),3,44,4,9.09,1.82
2019,충북,건설업,50인미만,"㈜명진개발(원청), 유한회사삼창건기(하청)",충북 충주시 소태면 구룡로 1298 구룡리,1,22,2,9.09,2
2018,경기,도자기ㆍ기타요업제품ㆍ시멘트제조업,50인 미만,주식회사디에이치콘크리트,경기 포천시 일동면 수입로 213-1 (마동),1,11,1,9.09,1.09
2019,경기,식료품제조업,50인미만,점보식품㈜,경기 화성시 양감면 정문송산로 241번길 1 ,1,11,1,9.09,1.45
2019,경기,화학 및 고무제품제조업,50인미만,"주식회사세아그린텍(원청), 광영FRP(하청)(환경배기장치(스크러버와 팬으로 구성) 제작공정)",경기 화성시 마도면 마도로 312 ,1,11,1,9.09,1.01
2019,충남,건설업,50인미만,"우신종합건설㈜(원청), (주)대현건설(하청)(서천군 새마을회관 건립공사(건축))",충남 서천군 서천읍 군사리 854-6,1,11,1,9.09,2
2020,서울,건설업,50인미만,(주)영림원(2020년 배전선로근접가로수 가지치기공사),서울 성동구 뚝섬로 452 가로 일대,1,11,1,9.09,1.82
2020,충북,화학 및 고무제품제조업,50인미만,㈜신성팩,충북 진천군 덕산면 신척산단3로 24-8 (덕산면),1,11,1,9.09,0.82
2020,충북,기계기구·금속·비금속광물제품제조업,50인미만,삼경산업,충북 충주시 금가면 김생로 636 (금가면),1,11,1,9.09,1.12
2020,충남,건설업,50인미만,"성우건설(주)(원청), (주)라도건설(하청)(금학지구 다목적농촌용수개발사업 토목건축기계공사)",충남 서산시 팔봉면 호리1길 101 일원,1,11,1,9.09,1.82
2020,경남,건설업,50인미만,에코슬롭주식회사(경전철 하부 수목식재 사업),경남 김해시 삼정동 447-6,1,11,1,9.09,1.82
2017,경기,건설업,100~299인,"(주)대림종합건설(원청), 맹호타워(하청) 주식회사선흥기업(하청)(동원물류고매농수산물종합유통센터신축공사)",경기 용인시 기흥구 고매로 60 (고매동 산 38-25번지외 1필지),7,148,13,8.78,0.31
2020,충북,기계기구·금속·비금속광물제품제조업,50인미만,(주)한국케이비,충북 충주시 가주농공1길 31 (풍동),1,23,2,8.7,1.12
2019,충북,건설업,50인미만,주식회사삼우전기(하청)(G동 탈의동 증축공사),충북 청주시 흥덕구 백봉로 95 (송정동),2,24,2,8.33,2
2020,충북,건설업,50인미만,"부경종합건설주식회사(원청), 정민건설주식회사(하청)(영동 부경아파트 신축공사)",충북 영동군 영동읍 동정리 78번지 외 5필지,1,24,2,8.33,1.82
2020,경북,건설업,50인미만,"(주)한일철도삼표, 레일웨이주식회사, 주식회사청명궤도(울산-포항 복선전철 입실~모량간 궤도공사)",경북 경주시 외동읍 입실리 962-3 입실역~모량역 관내,1,24,2,8.33,1.82
2017,경기,농업,50인 미만,양주바이오텍,경기 양주시 은현면 그루고개로143번길 368 ,1,12,1,8.33,0.84
2018,경기,기계기구ㆍ비금속광물제품ㆍ금속제품제조업 또는 금속가공업,50인 미만,태광엘리베이터(하청) 티케이엘리베이터코리아㈜(하청) 티센크루프엘리베이터(구)(하청),경기 남양주시 경춘로1256번길 9 (평내동) 605호,1,12,1,8.33,1.43
2019,광주,도·소매 및 소비자용품수리업,50인미만,(주)세화,"광주 광산구 평동산단5번좌로 115 (월전동, 주식회사 세화)",1,12,1,8.33,0.5
